Delivery Status,Shipping Mode,delivery_time,profit,inventory_demand,Order Item Quantity,inventory_efficiency
Shipping on time,Second Class,2,199.9900055,399.980011,1,0.002500124937493439
Advance shipping,Standard Class,2,199.9900055,399.980011,1,0.002500124937493439
Late delivery,First Class,2,149.9900055,299.980011,1,0.0033335554481328427
Shipping canceled,Same Day,0,15.22999954,31.07999992,1,0.032175032257850796
Advance shipping,Standard Class,2,199.9900055,399.980011,1,0.002500124937493439
Shipping on time,Standard Class,4,230.7400055,461.480011,1,0.002166941094226506
Advance shipping,Standard Class,2,199.9900055,399.980011,1,0.002500124937493439
Shipping on time,Same Day,0,64.34999847,129.9900055,1,0.007692899128310292
Late delivery,Same Day,0,4.949999809,9.989999771,1,0.10010010239468703
Late delivery,Second Class,3,149.9900055,299.980011,1,0.0033335554481328427
Late delivery,First Class,2,149.9900055,299.980011,1,0.0033335554481328427
Late delivery,First Class,2,149.9900055,299.980011,1,0.0033335554481328427
Late delivery,Same Day,0,49.5,99.98999786,1,0.010001000314052811
Late delivery,Same Day,0,63.70000076,129.9900055,1,0.007692899128310292
Late delivery,Same Day,0,5.539999962,11.53999996,1,0.0866551129520108
Shipping on time,Same Day,0,99.0,199.9900055,1,0.005000249874986878
Late delivery,First Class,2,100.0,199.9900055,1,0.005000249874986878
Advance shipping,Standard Class,2,100.0,199.9900055,1,0.005000249874986878
Shipping on time,Second Class,2,149.9900055,299.980011,1,0.0033335554481328427
Advance shipping,Standard Class,2,100.0,199.9900055,1,0.005000249874986878
Advance shipping,Standard Class,2,100.0,199.9900055,1,0.005000249874986878
Shipping on time,Same Day,0,98.0,199.9900055,1,0.005000249874986878
Advance shipping,Standard Class,3,199.9900055,399.980011,1,0.002500124937493439
Late delivery,First Class,2,107.9100037,215.8200073,1,0.004633490715297553
Shipping on time,Same Day,0,24.73999977,49.97999954,1,0.0200080033854278
Shipping on time,Same Day,0,24.73999977,49.97999954,1,0.0200080033854278
Late delivery,First Class,2,197.9900055,399.980011,1,0.002500124937493439
Shipping on time,Second Class,2,149.9900055,299.980011,1,0.0033335554481328427
Late delivery,Second Class,3,199.9900055,399.980011,1,0.002500124937493439
Advance shipping,Standard Class,3,199.9900055,399.980011,1,0.002500124937493439
Shipping on time,Standard Class,4,199.9900055,399.980011,1,0.002500124937493439
Shipping on time,Standard Class,4,199.9900055,399.980011,1,0.002500124937493439
Late delivery,First Class,2,199.9900055,399.980011,1,0.002500124937493439
Advance shipping,Standard Class,2,149.9900055,299.980011,1,0.0033335554481328427
Late delivery,Same Day,0,199.9900055,399.980011,1,0.002500124937493439
Shipping on time,Same Day,0,63.70000076,129.9900055,1,0.007692899128310292
Shipping on time,Same Day,0,49.5,99.98999786,1,0.010001000314052811
Late delivery,Same Day,0,39.20000076,79.98999786,1,0.012501563029795534
Shipping on time,Standard Class,4,199.9900055,399.980011,1,0.002500124937493439
