Actual Outcome,Predicted Outcome,Cancellation Probability,Actual Label,Predicted Label,Prediction Correct,Confidence
1,0,0.011346256,Cancelled,Not Cancelled,False,0.9886537
1,0,0.012141518,Cancelled,Not Cancelled,False,0.9878585
1,0,0.014635124,Cancelled,Not Cancelled,False,0.98536485
1,0,0.015398214,Cancelled,Not Cancelled,False,0.9846018
1,0,0.015742304,Cancelled,Not Cancelled,False,0.9842577
1,0,0.015841853,Cancelled,Not Cancelled,False,0.98415816
1,0,0.016652089,Cancelled,Not Cancelled,False,0.9833479
1,0,0.017266849,Cancelled,Not Cancelled,False,0.98273313
1,0,0.017395092,Cancelled,Not Cancelled,False,0.9826049
1,0,0.018054988,Cancelled,Not Cancelled,False,0.98194504
1,0,0.018165944,Cancelled,Not Cancelled,False,0.98183405
1,0,0.019183332,Cancelled,Not Cancelled,False,0.98081666
1,0,0.019622482,Cancelled,Not Cancelled,False,0.9803775
1,0,0.022447864,Cancelled,Not Cancelled,False,0.9775521
1,0,0.023192829,Cancelled,Not Cancelled,False,0.9768072
1,0,0.023833316,Cancelled,Not Cancelled,False,0.97616667
1,0,0.023973804,Cancelled,Not Cancelled,False,0.9760262
1,0,0.025174359,Cancelled,Not Cancelled,False,0.9748256
1,0,0.026545854,Cancelled,Not Cancelled,False,0.9734541
1,0,0.028892552,Cancelled,Not Cancelled,False,0.9711074
1,0,0.02979027,Cancelled,Not Cancelled,False,0.9702097
1,0,0.030472223,Cancelled,Not Cancelled,False,0.9695278
1,0,0.030675795,Cancelled,Not Cancelled,False,0.96932423
1,0,0.031325277,Cancelled,Not Cancelled,False,0.9686747
1,0,0.03373525,Cancelled,Not Cancelled,False,0.9662647
1,0,0.034012213,Cancelled,Not Cancelled,False,0.9659878
1,0,0.034585666,Cancelled,Not Cancelled,False,0.96541435
1,0,0.037815675,Cancelled,Not Cancelled,False,0.9621843
1,0,0.03800488,Cancelled,Not Cancelled,False,0.9619951
1,0,0.038678203,Cancelled,Not Cancelled,False,0.9613218
1,0,0.041532744,Cancelled,Not Cancelled,False,0.95846725
1,0,0.041789107,Cancelled,Not Cancelled,False,0.9582109
1,0,0.04229273,Cancelled,Not Cancelled,False,0.9577073
1,0,0.043069344,Cancelled,Not Cancelled,False,0.95693064
1,0,0.04311923,Cancelled,Not Cancelled,False,0.95688075
1,0,0.043422736,Cancelled,Not Cancelled,False,0.95657724
1,0,0.045476116,Cancelled,Not Cancelled,False,0.95452386
1,0,0.046728794,Cancelled,Not Cancelled,False,0.9532712
1,0,0.046885297,Cancelled,Not Cancelled,False,0.9531147
1,0,0.04732454,Cancelled,Not Cancelled,False,0.95267546
1,0,0.04794799,Cancelled,Not Cancelled,False,0.952052
1,0,0.051969673,Cancelled,Not Cancelled,False,0.94803035
1,0,0.05217393,Cancelled,Not Cancelled,False,0.9478261
1,0,0.05279964,Cancelled,Not Cancelled,False,0.94720036
1,0,0.055518817,Cancelled,Not Cancelled,False,0.9444812
1,0,0.05596667,Cancelled,Not Cancelled,False,0.9440333
1,0,0.05680128,Cancelled,Not Cancelled,False,0.94319874
1,0,0.056883913,Cancelled,Not Cancelled,False,0.94311607
1,0,0.056979515,Cancelled,Not Cancelled,False,0.94302046
1,0,0.057233375,Cancelled,Not Cancelled,False,0.9427666
1,0,0.060702417,Cancelled,Not Cancelled,False,0.93929756
1,0,0.06088966,Cancelled,Not Cancelled,False,0.93911034
1,0,0.063067324,Cancelled,Not Cancelled,False,0.9369327
1,0,0.06337032,Cancelled,Not Cancelled,False,0.93662965
1,0,0.06494857,Cancelled,Not Cancelled,False,0.93505144
1,0,0.0650473,Cancelled,Not Cancelled,False,0.9349527
1,0,0.06540706,Cancelled,Not Cancelled,False,0.93459296
1,0,0.06548644,Cancelled,Not Cancelled,False,0.93451357
1,0,0.06591768,Cancelled,Not Cancelled,False,0.9340823
1,0,0.06685777,Cancelled,Not Cancelled,False,0.93314224
1,0,0.067201674,Cancelled,Not Cancelled,False,0.9327983
1,0,0.06731994,Cancelled,Not Cancelled,False,0.9326801
1,0,0.06838342,Cancelled,Not Cancelled,False,0.9316166
