Feature,Feature Value,SHAP Value,Absolute SHAP Value,Effect
required_car_parking_spaces,3.2506900103787606,-4.095922,4.095922,Decreases cancellation prediction
lead_time,-0.9280446417856035,-0.93327206,0.93327206,Decreases cancellation prediction
parking_required,3.296664258124481,-0.7414638,0.7414638,Decreases cancellation prediction
market_segment_Online TA,0.0,-0.3920604,0.3920604,Decreases cancellation prediction
country_PRT,0.0,-0.3455489,0.3455489,Decreases cancellation prediction
total_of_special_requests,-0.8401237576075826,0.19802117,0.19802117,Increases cancellation prediction
booked_through_agent,-2.4796287082605732,-0.1212102,0.1212102,Decreases cancellation prediction
lead_time_category_Last Minute,1.0,-0.07247071,0.07247071,Decreases cancellation prediction
room_changed,-0.42007102135930635,0.072288476,0.072288476,Increases cancellation prediction
booking_changes,-0.37362455800697403,0.06990614,0.06990614,Increases cancellation prediction
arrival_date_week_number,1.0338158767170536,0.056906123,0.056906123,Increases cancellation prediction
arrival_date_year,-0.30671053073814025,0.056207433,0.056207433,Increases cancellation prediction
market_segment_Direct,1.0,0.046448443,0.046448443,Increases cancellation prediction
has_special_requests,-0.9956321975976018,0.04292017,0.04292017,Increases cancellation prediction
hotel_City Hotel,0.0,0.041389722,0.041389722,Increases cancellation prediction
estimated_booking_value,-0.7835525722279462,-0.03901184,0.03901184,Decreases cancellation prediction
arrival_month_cos,0.9619360424172146,0.032368343,0.032368343,Increases cancellation prediction
adr_per_guest,-0.10021185745760183,-0.029081786,0.029081786,Decreases cancellation prediction
previous_cancellation_ratio,-0.12218252486646697,-0.027128428,0.027128428,Decreases cancellation prediction
customer_type_Transient,1.0,0.025394581,0.025394581,Increases cancellation prediction
distribution_channel_Direct,1.0,0.020310946,0.020310946,Increases cancellation prediction
country_FRA,0.0,0.018366452,0.018366452,Increases cancellation prediction
meal_SC,0.0,-0.018180365,0.018180365,Decreases cancellation prediction
market_segment_Offline TA/TO,0.0,0.015518446,0.015518446,Increases cancellation prediction
arrival_season_Summer,0.0,0.013442924,0.013442924,Increases cancellation prediction
previous_bookings_not_canceled,-0.10681787113925846,0.012402011,0.012402011,Increases cancellation prediction
country_GBR,0.0,0.012197309,0.012197309,Increases cancellation prediction
deposit_type_Non Refund,0.0,-0.011684621,0.011684621,Decreases cancellation prediction
deposit_type_No Deposit,1.0,-0.010873907,0.010873907,Decreases cancellation prediction
country_DEU,0.0,0.010042019,0.010042019,Increases cancellation prediction
customer_type_Transient-Party,0.0,0.008716699,0.008716699,Increases cancellation prediction
stays_in_week_nights,-0.7925921867496527,-0.008279947,0.008279947,Decreases cancellation prediction
country_BRA,0.0,-0.006900422,0.006900422,Decreases cancellation prediction
booking_was_changed,-0.47150581342012765,0.006806843,0.006806843,Increases cancellation prediction
long_lead_no_deposit,-0.7064523132612847,-0.0062658438,0.0062658438,Decreases cancellation prediction
country_ESP,0.0,-0.005476405,0.005476405,Decreases cancellation prediction
country_AGO,0.0,-0.0052613216,0.0052613216,Decreases cancellation prediction
adult_only_booking,0.3456459000038292,-0.004937444,0.004937444,Decreases cancellation prediction
country_BEL,0.0,0.0044743903,0.0044743903,Increases cancellation prediction
meal_BB,1.0,0.004095984,0.004095984,Increases cancellation prediction
country_NLD,0.0,0.0040621604,0.0040621604,Increases cancellation prediction
assigned_room_type_D,1.0,-0.0035317407,0.0035317407,Decreases cancellation prediction
adr,-0.026521038101053114,-0.0034936527,0.0034936527,Decreases cancellation prediction
country_RUS,0.0,-0.003333623,0.003333623,Decreases cancellation prediction
total_nights,-0.9533428827613567,0.0032565338,0.0032565338,Increases cancellation prediction
distribution_channel_TA/TO,0.0,-0.0032521605,0.0032521605,Decreases cancellation prediction
stays_in_weekend_nights,-0.9736546420893737,0.003213671,0.003213671,Increases cancellation prediction
arrival_season_Winter,0.0,-0.002931652,0.002931652,Decreases cancellation prediction
country_CHN,0.0,-0.0028690714,0.0028690714,Decreases cancellation prediction
country_USA,1.0,0.0028449195,0.0028449195,Increases cancellation prediction
lead_time_category_Medium,0.0,-0.0026843331,0.0026843331,Decreases cancellation prediction
arrival_month_number,1.1364275711573362,0.0026456104,0.0026456104,Increases cancellation prediction
country_IRL,0.0,0.002517567,0.002517567,Increases cancellation prediction
hotel_Resort Hotel,1.0,0.0023777704,0.0023777704,Increases cancellation prediction
reserved_room_type_F,0.0,0.0021418028,0.0021418028,Increases cancellation prediction
assigned_room_type_B,0.0,-0.001853346,0.001853346,Decreases cancellation prediction
lead_time_category_Very Long,0.0,-0.0017838094,0.0017838094,Decreases cancellation prediction
days_in_waiting_list,-0.07326469105173948,0.0017395699,0.0017395699,Increases cancellation prediction
market_segment_Groups,0.0,-0.0017250798,0.0017250798,Decreases cancellation prediction
country_FIN,0.0,0.0016064944,0.0016064944,Increases cancellation prediction
country_MAR,0.0,-0.0015395003,0.0015395003,Decreases cancellation prediction
country_NOR,0.0,0.0015125615,0.0015125615,Increases cancellation prediction
has_weekend_stay,-1.2162102646888537,0.0014636433,0.0014636433,Increases cancellation prediction
children,-0.304883400455821,0.0014386313,0.0014386313,Increases cancellation prediction
meal_HB,0.0,0.0013608732,0.0013608732,Increases cancellation prediction
country_AUT,0.0,0.001259179,0.001259179,Increases cancellation prediction
is_family,-0.34209693898253646,-0.0012459307,0.0012459307,Decreases cancellation prediction
reserved_room_type_E,0.0,-0.0012236072,0.0012236072,Decreases cancellation prediction
arrival_date_day_of_month,-1.224845019041325,0.0012074128,0.0012074128,Increases cancellation prediction
adults,0.1938122211247697,0.0012009981,0.0012009981,Increases cancellation prediction
reserved_room_type_D,1.0,-0.0011591121,0.0011591121,Decreases cancellation prediction
country_ARE,0.0,-0.0010878528,0.0010878528,Decreases cancellation prediction
assigned_room_type_A,0.0,-0.0010698165,0.0010698165,Decreases cancellation prediction
previous_cancellations,-0.08109052888206775,-0.0010275139,0.0010275139,Decreases cancellation prediction
has_previous_booking,-0.23583077854050466,0.001013945,0.001013945,Increases cancellation prediction
market_segment_Aviation,0.0,-0.0009263751,0.0009263751,Decreases cancellation prediction
country_ITA,0.0,-0.00089874875,0.00089874875,Decreases cancellation prediction
arrival_season_Autumn,1.0,0.00089556375,0.00089556375,Increases cancellation prediction
country_TUR,0.0,-0.00089528045,0.00089528045,Decreases cancellation prediction
assigned_room_type_F,0.0,0.0008716121,0.0008716121,Increases cancellation prediction
distribution_channel_Corporate,0.0,-0.00082821085,0.00082821085,Decreases cancellation prediction
lead_time_category_Short,0.0,-0.00082298287,0.00082298287,Decreases cancellation prediction
reserved_room_type_B,0.0,-0.0007989249,0.0007989249,Decreases cancellation prediction
distribution_channel_GDS,0.0,0.0007880479,0.0007880479,Increases cancellation prediction
country_JPN,0.0,0.0007668972,0.0007668972,Increases cancellation prediction
country_LUX,0.0,-0.000684279,0.000684279,Decreases cancellation prediction
total_guests,-0.03260507681344182,-0.00067116536,0.00067116536,Decreases cancellation prediction
arrival_date_2016-10-27,0.0,-0.0006524488,0.0006524488,Decreases cancellation prediction
assigned_room_type_E,0.0,-0.00064615713,0.00064615713,Decreases cancellation prediction
is_repeated_guest,-0.2022831230237186,0.00062637933,0.00062637933,Increases cancellation prediction
is_long_stay,-0.40525636688151895,-0.0006238212,0.0006238212,Decreases cancellation prediction
country_ISR,0.0,-0.00062249164,0.00062249164,Decreases cancellation prediction
arrival_date_2016-11-07,0.0,0.0006010507,0.0006010507,Increases cancellation prediction
