Feature,Importance
room_changed,0.10427194
lead_time_category_Last Minute,0.049094375
market_segment_Online TA,0.046347916
required_car_parking_spaces,0.04626108
has_special_requests,0.045179207
parking_required,0.045009296
country_PRT,0.026868647
deposit_type_Non Refund,0.025377829
market_segment_Direct,0.019714521
customer_type_Transient,0.018659122
total_of_special_requests,0.017855376
deposit_type_No Deposit,0.015270303
previous_cancellation_ratio,0.014637854
market_segment_Offline TA/TO,0.013279441
distribution_channel_Direct,0.010532712
country_ESP,0.010113615
lead_time,0.009255121
booking_changes,0.008810337
lead_time_category_Very Long,0.008636726
arrival_date_year,0.008084978
country_AGO,0.007759709
previous_bookings_not_canceled,0.0072586695
country_DEU,0.0071657714
country_CHN,0.0070050606
customer_type_Contract,0.0066500553
previous_cancellations,0.0064434097
is_long_stay,0.00642177
long_lead_no_deposit,0.0062722904
country_GBR,0.0056769154
country_BRA,0.005325167
has_previous_booking,0.0052034156
customer_type_Transient-Party,0.0048058415
distribution_channel_TA/TO,0.0047739777
country_FRA,0.004490576
hotel_Resort Hotel,0.0043840706
country_BEL,0.00412696
country_MAR,0.0041098637
reserved_room_type_B,0.004020422
booked_through_agent,0.003978909
hotel_City Hotel,0.0038864487
babies,0.00378448
country_ITA,0.0037054606
country_NLD,0.0036906307
country_ARE,0.0034228966
country_AUT,0.0033975951
arrival_date_2015-08-17,0.0032724135
country_IRN,0.0032274735
country_FIN,0.003173395
adult_only_booking,0.0031726374
reserved_room_type_C,0.0031481641
country_RUS,0.0031339712
arrival_month_cos,0.0030399119
market_segment_Groups,0.0029994862
total_nights,0.002963058
is_repeated_guest,0.0028969925
arrival_date_2017-04-14,0.0028708468
country_TUR,0.0028383015
adr,0.0028282208
meal_Undefined,0.0028157465
arrival_date_2016-08-17,0.002719296
booking_was_changed,0.002646031
arrival_date_2016-03-31,0.0026391258
country_SWE,0.002634808
arrival_date_2017-05-05,0.0026087994
country_ISR,0.002563437
distribution_channel_GDS,0.002546696
arrival_date_2017-02-16,0.0024762498
arrival_date_2016-11-07,0.0024735702
country_NGA,0.0024728142
arrival_date_2017-07-12,0.0024326714
arrival_date_2016-10-27,0.0024101299
country_JPN,0.0023878915
assigned_room_type_G,0.0023474677
arrival_season_Summer,0.0023310347
arrival_date_2016-03-30,0.0022785673
arrival_date_2017-06-27,0.002255533
assigned_room_type_B,0.0022518279
arrival_date_2017-01-07,0.0022345039
arrival_date_2017-06-29,0.0022265124
arrival_date_2017-05-03,0.002218188
arrival_date_2016-05-21,0.0022052878
country_IRL,0.0022039118
arrival_date_2016-11-05,0.0021920588
country_ZAF,0.002179194
country_LUX,0.0021652519
meal_SC,0.0021431462
adults,0.0021431425
country_SAU,0.0021368589
arrival_date_2017-08-08,0.0021316395
reserved_room_type_E,0.0021076903
arrival_date_2016-03-18,0.0021023653
arrival_date_2015-10-07,0.0021018572
country_HKG,0.0020949638
country_CHE,0.0020879144
arrival_date_2016-02-28,0.0020548003
arrival_date_2017-04-21,0.0020523828
reserved_room_type_G,0.0020471348
arrival_date_2016-04-29,0.0020421236
country_NZL,0.0020253584
estimated_booking_value,0.0020141443
assigned_room_type_C,0.002001513
arrival_date_2016-11-17,0.0019962252
reserved_room_type_F,0.0019897025
arrival_season_Winter,0.0019889094
arrival_date_2016-12-07,0.0019728239
arrival_date_week_number,0.0019601993
assigned_room_type_E,0.0019594047
arrival_date_2016-11-20,0.0019557774
arrival_date_2016-09-04,0.0019505738
arrival_date_2016-10-09,0.0019459388
market_segment_Aviation,0.0019256258
is_family,0.001925163
arrival_date_2016-10-17,0.0019043501
arrival_date_2016-01-22,0.001903469
arrival_date_2017-07-15,0.0018945716
arrival_date_2017-03-19,0.0018787754
arrival_date_2017-01-06,0.001854798
arrival_date_2017-03-26,0.0018470193
country_DNK,0.001843457
country_NOR,0.0018400751
arrival_date_2016-10-11,0.0018355976
arrival_date_2016-11-02,0.0018324332
arrival_date_2016-04-04,0.0018289465
country_MOZ,0.001827252
meal_HB,0.0018213718
meal_FB,0.0018187264
country_USA,0.0018153654
arrival_date_2017-08-16,0.0018111112
days_in_waiting_list,0.0018060261
country_PHL,0.0018031624
arrival_date_2017-05-20,0.0018015564
arrival_date_2016-07-16,0.0017879476
arrival_date_2016-10-25,0.0017847875
arrival_date_2016-06-12,0.0017819768
arrival_date_2017-07-06,0.0017721341
arrival_date_2016-04-30,0.00176862
arrival_date_2017-02-15,0.0017655074
arrival_date_2016-10-26,0.0017500888
country_THA,0.0017494689
arrival_date_2015-08-27,0.0017484531
arrival_date_2017-03-21,0.001745174
arrival_date_2017-02-14,0.0017403216
arrival_date_2017-03-01,0.0017385718
assigned_room_type_F,0.0017377621
arrival_date_2017-05-25,0.0017369379
arrival_date_2016-04-10,0.0017357671
distribution_channel_Corporate,0.0017206818
arrival_date_2016-12-29,0.0017152672
children,0.0017138649
arrival_date_2016-05-20,0.001711033
lead_time_category_Short,0.0017084065
arrival_date_2017-03-29,0.0017014461
country_IDN,0.0016983805
arrival_date_2016-09-26,0.0016835753
arrival_date_2016-12-02,0.0016703483
arrival_month_number,0.0016700163
country_QAT,0.0016678452
arrival_date_2016-03-24,0.0016575145
arrival_date_2015-08-13,0.001653672
arrival_date_2016-12-06,0.0016351133
arrival_date_2016-07-28,0.0016345318
country_GIB,0.0016283394
arrival_date_2015-08-01,0.001624912
arrival_date_2016-11-27,0.0015973877
arrival_date_2017-03-20,0.0015909426
arrival_date_2016-09-25,0.0015883028
arrival_date_2016-07-07,0.0015871975
arrival_date_2016-01-02,0.0015857434
arrival_date_2016-12-16,0.0015843934
arrival_date_2016-10-28,0.0015812897
meal_BB,0.001569385
country_MEX,0.001568069
arrival_date_2017-04-06,0.001561313
arrival_date_2016-05-19,0.0015588746
arrival_date_2015-09-01,0.0015559015
arrival_date_2015-10-30,0.0015486217
arrival_date_2017-02-08,0.0015333669
lead_time_category_Medium,0.0015226508
market_segment_Complementary,0.0014980204
arrival_date_2016-12-21,0.0014895882
adr_per_guest,0.001479415
arrival_date_2015-11-23,0.0014651313
arrival_date_2015-08-18,0.0014552192
arrival_date_2015-09-22,0.0014518305
arrival_date_2016-04-06,0.0014402405
arrival_date_2017-06-26,0.0014287465
arrival_date_2016-11-29,0.0014258391
arrival_date_2017-06-04,0.0014116246
arrival_date_2016-04-28,0.0014105795
arrival_date_2016-03-19,0.0013967969
arrival_date_2016-02-08,0.0013881276
total_guests,0.0013777632
arrival_date_2016-08-05,0.0013763926
country_KOR,0.0013735472
arrival_date_2015-08-02,0.0013610336
arrival_date_2017-01-28,0.0013547456
arrival_date_2017-01-17,0.0013542154
arrival_date_2016-08-21,0.0013370605
arrival_date_2015-09-05,0.0013243849
arrival_season_Spring,0.0013132568
arrival_date_2015-11-28,0.0013058014
arrival_date_2017-07-03,0.0013013204
country_CPV,0.00129327
arrival_month_sin,0.0012928668
arrival_date_2017-07-31,0.0012859611
assigned_room_type_I,0.0012835669
arrival_date_2016-10-21,0.0012555354
arrival_date_2016-10-22,0.0011956416
assigned_room_type_D,0.0011808841
stays_in_week_nights,0.0011729744
stays_in_weekend_nights,0.0011475688
arrival_season_Autumn,0.0010892523
reserved_room_type_A,0.0010627653
arrival_date_2017-05-26,0.001049391
has_weekend_stay,0.0010456477
reserved_room_type_D,0.0010266132
market_segment_Corporate,0.001006282
assigned_room_type_A,0.0009868635
reserved_room_type_H,0.0009808491
arrival_date_day_of_month,0.0009709812
arrival_date_2016-12-30,0.0009197939
lead_time_category_Long,0.0008513989
arrival_date_2016-11-11,0.00031870898
arrival_date_2015-07-06,0.00026754203
assigned_room_type_K,9.539186e-05
arrival_date_2016-10-16,0.0
arrival_date_2016-10-12,0.0
arrival_date_2016-10-13,0.0
arrival_date_2016-10-19,0.0
arrival_date_2016-10-18,0.0
arrival_date_2016-10-14,0.0
arrival_date_2016-10-23,0.0
arrival_date_2016-10-24,0.0
arrival_date_2016-10-15,0.0
arrival_date_2016-10-20,0.0
arrival_date_2016-11-15,0.0
arrival_date_2016-10-29,0.0
arrival_date_2016-12-15,0.0
arrival_date_2016-12-04,0.0
arrival_date_2016-12-05,0.0
arrival_date_2016-12-08,0.0
arrival_date_2016-12-09,0.0
arrival_date_2016-12-10,0.0
arrival_date_2016-12-11,0.0
arrival_date_2016-12-12,0.0
arrival_date_2016-12-13,0.0
arrival_date_2016-12-14,0.0
arrival_date_2016-12-17,0.0
arrival_date_2016-12-01,0.0
arrival_date_2016-12-18,0.0
arrival_date_2016-12-19,0.0
arrival_date_2016-12-20,0.0
arrival_date_2016-12-22,0.0
arrival_date_2016-12-23,0.0
arrival_date_2016-12-24,0.0
arrival_date_2016-12-25,0.0
arrival_date_2016-12-26,0.0
arrival_date_2016-12-27,0.0
arrival_date_2016-12-03,0.0
arrival_date_2016-11-30,0.0
arrival_date_2016-10-30,0.0
arrival_date_2016-11-13,0.0
arrival_date_2016-10-31,0.0
arrival_date_2016-11-01,0.0
arrival_date_2016-11-03,0.0
arrival_date_2016-11-04,0.0
arrival_date_2016-11-06,0.0
arrival_date_2016-11-08,0.0
arrival_date_2016-11-09,0.0
arrival_date_2016-11-10,0.0
arrival_date_2016-11-12,0.0
arrival_date_2016-11-14,0.0
arrival_date_2016-11-28,0.0
arrival_date_2016-11-16,0.0
arrival_date_2016-11-18,0.0
arrival_date_2016-11-19,0.0
arrival_date_2016-11-21,0.0
arrival_date_2016-11-22,0.0
arrival_date_2016-11-23,0.0
arrival_date_2016-11-24,0.0
arrival_date_2016-11-25,0.0
arrival_date_2016-11-26,0.0
arrival_date_2016-10-10,0.0
country_GGY,0.0
arrival_date_2016-10-08,0.0
arrival_date_2016-07-24,0.0
arrival_date_2016-07-12,0.0
arrival_date_2016-07-13,0.0
arrival_date_2016-07-14,0.0
arrival_date_2016-07-15,0.0
arrival_date_2016-07-17,0.0
arrival_date_2016-07-18,0.0
arrival_date_2016-07-19,0.0
arrival_date_2016-07-20,0.0
arrival_date_2016-07-21,0.0
arrival_date_2016-07-22,0.0
arrival_date_2016-07-23,0.0
arrival_date_2016-07-25,0.0
arrival_date_2016-08-09,0.0
arrival_date_2016-07-26,0.0
arrival_date_2016-07-27,0.0
arrival_date_2016-07-29,0.0
arrival_date_2016-07-30,0.0
arrival_date_2016-07-31,0.0
arrival_date_2016-08-01,0.0
arrival_date_2016-08-02,0.0
arrival_date_2016-08-03,0.0
arrival_date_2016-08-04,0.0
arrival_date_2016-08-06,0.0
arrival_date_2016-08-07,0.0
arrival_date_2016-07-11,0.0
arrival_date_2016-07-10,0.0
arrival_date_2016-07-09,0.0
arrival_date_2016-07-08,0.0
arrival_date_2016-06-14,0.0
arrival_date_2016-06-15,0.0
arrival_date_2016-06-16,0.0
arrival_date_2016-06-17,0.0
arrival_date_2016-06-18,0.0
arrival_date_2016-06-19,0.0
arrival_date_2016-06-20,0.0
arrival_date_2016-06-21,0.0
arrival_date_2016-06-22,0.0
arrival_date_2016-06-23,0.0
arrival_date_2016-06-24,0.0
arrival_date_2016-06-25,0.0
arrival_date_2016-06-26,0.0
arrival_date_2016-06-27,0.0
arrival_date_2016-06-28,0.0
arrival_date_2016-06-29,0.0
arrival_date_2016-06-30,0.0
arrival_date_2016-07-01,0.0
arrival_date_2016-07-02,0.0
arrival_date_2016-07-03,0.0
arrival_date_2016-07-04,0.0
arrival_date_2016-07-05,0.0
arrival_date_2016-07-06,0.0
arrival_date_2016-08-08,0.0
arrival_date_2016-08-10,0.0
arrival_date_2016-10-07,0.0
arrival_date_2016-09-22,0.0
arrival_date_2016-09-11,0.0
arrival_date_2016-09-12,0.0
arrival_date_2016-12-28,0.0
arrival_date_2016-09-14,0.0
arrival_date_2016-09-15,0.0
arrival_date_2016-09-16,0.0
arrival_date_2016-09-17,0.0
arrival_date_2016-09-18,0.0
arrival_date_2016-09-19,0.0
arrival_date_2016-09-20,0.0
arrival_date_2016-09-21,0.0
arrival_date_2016-09-23,0.0
arrival_date_2016-08-11,0.0
arrival_date_2016-09-24,0.0
arrival_date_2016-09-27,0.0
arrival_date_2016-09-28,0.0
arrival_date_2016-09-29,0.0
