Feature,Importance Mean,Importance Standard Deviation
country,0.09466113481940763,0.0018926486529818071
market_segment,0.08265166166719298,0.0021211159110621223
required_car_parking_spaces,0.060532669873134035,0.0018399702351334576
lead_time,0.05125458451210348,0.0009272957443402068
room_changed,0.03956533948048,0.0021960122138294435
total_of_special_requests,0.034947623801428684,0.0011879558587827093
arrival_date_year,0.02524160136253597,0.0014267593830759706
customer_type,0.01738260339953588,0.0007101500553917553
previous_cancellation_ratio,0.010219754247027724,0.0004590766959741231
adr,0.009105901199661082,0.000684218354410267
booking_changes,0.006190199343716074,0.0003752537629978029
deposit_type,0.005109667815402785,0.00029124725868929466
previous_bookings_not_canceled,0.004341636619324496,0.0003817757928871824
hotel,0.0036004599861365616,0.0003585567123200817
parking_required,0.002794306473853414,0.0004472303010659503
arrival_date_week_number,0.001974302080376522,0.00020829214619322187
meal,0.0016933175694425317,8.435289690072774e-05
arrival_month_cos,0.0015659203603235917,0.00019546051689963947
total_nights,0.0013465654598824762,0.00011788297105198453
has_special_requests,0.0013377745192159507,0.00015828718871822053
distribution_channel,0.000984723232216922,0.00010859325691588326
adr_per_guest,0.0008539455309861221,0.00015944482650345038
arrival_season,0.0007407430663864511,0.0001054791538188092
estimated_booking_value,0.0007216910447491953,0.0002747511807484739
assigned_room_type,0.0006231584208573393,9.530526727560681e-05
is_repeated_guest,0.00043933440286456624,7.731398919619388e-05
booked_through_agent,0.00039192943804964295,8.020184573517711e-05
arrival_date,0.00038759709238476157,6.78125775119803e-05
reserved_room_type,0.00036482569883662387,5.685616235340684e-05
arrival_month_number,0.000221059266488699,3.4351784963624025e-05
has_previous_booking,0.00022085992543046106,0.0001095246649079376
stays_in_week_nights,0.00021822031758491622,3.288052260682815e-05
arrival_date_day_of_month,0.00021093938543419454,1.9880384801305867e-05
stays_in_weekend_nights,0.00016369389346575501,3.93656341248105e-05
days_in_waiting_list,0.0001622436872673605,4.18851379273662e-05
arrival_month_sin,0.00014800409101010104,2.258544440360652e-05
total_guests,0.00013498711990975743,3.270614793864325e-05
adults,9.560397151175959e-05,3.402367729391795e-05
adult_only_booking,7.43924217440517e-05,3.746404129490808e-05
previous_cancellations,4.820565139878053e-05,2.332770782669066e-05
booking_was_changed,4.42570372710005e-05,3.595313981565574e-05
has_weekend_stay,3.4921231045426104e-05,2.196574837501263e-05
children,3.455909478959907e-05,3.172429220272671e-05
is_family,3.0050664523395555e-05,2.2607907505937106e-05
is_long_stay,2.2507266646099033e-05,1.2727368275549401e-05
was_on_waiting_list,0.0,0.0
babies,-1.0568398435384374e-05,6.172937042840764e-06
long_lead_no_deposit,-4.7311938987815164e-05,4.422024160920624e-05
lead_time_category,-0.0003306818979182724,3.209419239009583e-05
