Feature,Mean Absolute SHAP Value
country_PRT,0.6542099
market_segment_Online TA,0.4944018
required_car_parking_spaces,0.47615665
lead_time,0.39981666
total_of_special_requests,0.3510365
room_changed,0.3217241
adr,0.1727284
arrival_date_year,0.16439341
booking_changes,0.14569162
customer_type_Transient,0.12957978
market_segment_Offline TA/TO,0.08952911
parking_required,0.08331798
previous_cancellation_ratio,0.07929596
previous_bookings_not_canceled,0.07144655
has_special_requests,0.068405665
hotel_City Hotel,0.06381665
market_segment_Direct,0.04967265
arrival_date_week_number,0.047614932
arrival_month_cos,0.045497634
lead_time_category_Last Minute,0.04523859
estimated_booking_value,0.044693004
country_ESP,0.042155106
customer_type_Transient-Party,0.04172026
country_GBR,0.03954376
country_DEU,0.035345078
deposit_type_No Deposit,0.03493383
deposit_type_Non Refund,0.031741086
country_FRA,0.0315006
meal_SC,0.03014814
adr_per_guest,0.029967902
distribution_channel_Direct,0.025933476
total_nights,0.025870305
arrival_season_Summer,0.021534357
country_ITA,0.018266179
booked_through_agent,0.017586267
country_CHN,0.016728962
country_BEL,0.014622424
country_BRA,0.014178391
has_previous_booking,0.012931091
country_NLD,0.011696936
long_lead_no_deposit,0.0112897325
arrival_date_day_of_month,0.011124051
country_AGO,0.010488931
stays_in_week_nights,0.0102520725
distribution_channel_TA/TO,0.010146472
booking_was_changed,0.009844088
country_IRL,0.008900285
hotel_Resort Hotel,0.008497308
country_AUT,0.008342572
lead_time_category_Very Long,0.008310762
assigned_room_type_B,0.008059138
adult_only_booking,0.0076697622
adults,0.0069354507
arrival_month_sin,0.006556018
market_segment_Groups,0.006548645
previous_cancellations,0.006418696
arrival_season_Winter,0.0062454427
country_MAR,0.0062421993
meal_BB,0.006187898
meal_HB,0.0060814363
children,0.00569341
lead_time_category_Medium,0.0055925427
is_repeated_guest,0.0055486434
arrival_month_number,0.0054557095
stays_in_weekend_nights,0.0054269
country_RUS,0.004994404
reserved_room_type_F,0.0048029353
country_SWE,0.00479954
total_guests,0.00472404
country_TUR,0.004609857
country_ISR,0.0041675786
is_family,0.0039652227
country_FIN,0.0037638303
reserved_room_type_E,0.0036909378
reserved_room_type_B,0.0036058314
country_CHE,0.0035657955
days_in_waiting_list,0.0035439641
market_segment_Corporate,0.0033167899
assigned_room_type_A,0.003254019
distribution_channel_Corporate,0.003183955
assigned_room_type_C,0.002959762
has_weekend_stay,0.0028849246
assigned_room_type_D,0.0027982285
lead_time_category_Short,0.0023683421
country_JPN,0.0022536865
arrival_season_Spring,0.0022014976
assigned_room_type_F,0.0020320667
distribution_channel_GDS,0.002022438
country_NOR,0.0018573462
arrival_season_Autumn,0.0017846759
assigned_room_type_E,0.0017250878
is_long_stay,0.0017016262
arrival_date_2015-11-23,0.0016211143
reserved_room_type_A,0.0015286835
market_segment_Aviation,0.0014469337
customer_type_Contract,0.001401226
reserved_room_type_D,0.0012275835
arrival_date_2016-10-27,0.0011944317
country_ARE,0.0011841061
arrival_date_2016-11-20,0.0011713353
arrival_date_2016-12-02,0.0010703668
meal_Undefined,0.0010108158
lead_time_category_Long,0.0010066102
assigned_room_type_G,0.0009993142
country_MEX,0.00092528877
meal_FB,0.00091256585
country_LUX,0.0008737264
country_DNK,0.0008685044
arrival_date_2016-11-07,0.0008413116
arrival_date_2016-10-25,0.0008363542
babies,0.0007680798
arrival_date_2016-10-17,0.000681771
reserved_room_type_G,0.00067056215
arrival_date_2016-04-30,0.00063109404
arrival_date_2015-08-17,0.0005594001
arrival_date_2017-07-15,0.00048123245
arrival_date_2016-08-17,0.0004608893
country_HKG,0.00042298296
country_ZAF,0.00042191442
country_USA,0.0004206406
country_SAU,0.00041790138
arrival_date_2016-04-10,0.00041555482
market_segment_Complementary,0.00038437205
country_NGA,0.00038000543
country_NZL,0.00037517826
arrival_date_2017-01-06,0.00036678492
arrival_date_2015-08-18,0.0003609515
arrival_date_2016-07-16,0.00035955338
reserved_room_type_C,0.00035715217
arrival_date_2016-09-04,0.00035320246
arrival_date_2017-03-19,0.000316265
arrival_date_2017-07-06,0.0003003315
arrival_date_2016-05-20,0.00027707918
arrival_date_2017-03-21,0.0002639208
country_MOZ,0.00026299275
arrival_date_2015-10-07,0.000262513
arrival_date_2017-07-12,0.00025992416
arrival_date_2016-12-07,0.00025855174
arrival_date_2016-04-29,0.00025840927
arrival_date_2017-04-21,0.00024916386
arrival_date_2016-01-02,0.00023163506
arrival_date_2017-05-25,0.00022463218
arrival_date_2017-03-20,0.00022282025
arrival_date_2015-09-05,0.00020920178
arrival_date_2017-08-16,0.0002069501
arrival_date_2016-04-28,0.00020578738
country_PHL,0.0002046768
assigned_room_type_I,0.00019728862
arrival_date_2017-04-06,0.00019445996
arrival_date_2016-09-26,0.0001906232
arrival_date_2016-09-25,0.00018229513
arrival_date_2016-01-22,0.00018210227
arrival_date_2017-04-14,0.00017000918
arrival_date_2016-02-28,0.00016025109
arrival_date_2017-05-03,0.0001594941
country_THA,0.0001535522
arrival_date_2017-03-26,0.0001512717
arrival_date_2017-06-04,0.00014747499
country_GIB,0.00014684882
arrival_date_2016-03-31,0.00014193243
arrival_date_2016-04-06,0.00013667143
country_KOR,0.00013398731
arrival_date_2016-07-28,0.00012879782
arrival_date_2016-11-17,0.00012747494
arrival_date_2017-06-29,0.00012238244
arrival_date_2017-05-20,0.0001213217
arrival_date_2016-08-21,0.00011437975
arrival_date_2016-03-24,0.00010901627
arrival_date_2016-10-26,0.00010897579
country_IDN,0.000104600105
arrival_date_2016-12-16,9.392839e-05
arrival_date_2016-10-09,9.311038e-05
arrival_date_2016-05-21,9.305331e-05
arrival_date_2016-07-07,9.179793e-05
arrival_date_2017-02-14,8.966769e-05
arrival_date_2016-02-08,8.824952e-05
arrival_date_2017-06-27,8.659421e-05
arrival_date_2016-12-06,8.289597e-05
arrival_date_2017-06-26,7.753811e-05
arrival_date_2016-08-05,7.582976e-05
arrival_date_2015-11-28,7.053081e-05
arrival_date_2017-05-05,6.931133e-05
arrival_date_2017-01-28,6.7226996e-05
arrival_date_2016-03-18,6.4874126e-05
arrival_date_2015-10-30,6.201682e-05
arrival_date_2016-11-29,6.112691e-05
arrival_date_2017-03-29,6.0992945e-05
arrival_date_2017-03-01,5.355486e-05
arrival_date_2016-06-12,5.271567e-05
arrival_date_2016-11-11,5.185435e-05
arrival_date_2016-11-02,5.1686075e-05
arrival_date_2017-01-07,4.8719787e-05
arrival_date_2016-10-11,4.6043468e-05
arrival_date_2017-07-03,4.5054043e-05
country_QAT,4.457422e-05
arrival_date_2016-10-22,4.3578744e-05
arrival_date_2017-02-15,4.2944514e-05
arrival_date_2016-12-21,4.202186e-05
arrival_date_2016-03-19,4.11287e-05
arrival_date_2015-09-01,3.9464063e-05
arrival_date_2016-11-05,3.9068877e-05
arrival_date_2016-11-27,3.8051665e-05
assigned_room_type_K,3.5916342e-05
arrival_date_2016-05-19,3.5137306e-05
arrival_date_2017-02-16,3.406167e-05
arrival_date_2015-07-06,3.37632e-05
arrival_date_2017-08-08,3.1288688e-05
arrival_date_2016-03-30,3.0678788e-05
arrival_date_2016-10-28,2.9583154e-05
arrival_date_2017-02-08,2.8890126e-05
country_IRN,2.8828057e-05
arrival_date_2015-08-27,2.8508864e-05
arrival_date_2015-09-22,2.7688124e-05
arrival_date_2016-12-29,2.7442518e-05
arrival_date_2016-12-30,2.6603564e-05
arrival_date_2017-07-31,2.5055795e-05
arrival_date_2015-08-13,2.2703263e-05
arrival_date_2015-08-02,2.0749432e-05
country_CPV,1.9886442e-05
arrival_date_2015-08-01,1.8529709e-05
arrival_date_2017-05-26,1.7764845e-05
arrival_date_2016-10-21,1.718076e-05
arrival_date_2017-01-17,1.358173e-05
arrival_date_2016-04-04,1.3457709e-05
reserved_room_type_H,1.0033787e-05
arrival_date_2016-10-18,0.0
arrival_date_2016-10-19,0.0
arrival_date_2016-11-06,0.0
arrival_date_2016-11-10,0.0
arrival_date_2016-11-09,0.0
arrival_date_2016-07-03,0.0
arrival_date_2016-06-26,0.0
arrival_date_2016-11-08,0.0
arrival_date_2016-06-27,0.0
arrival_date_2016-06-28,0.0
arrival_date_2016-07-02,0.0
arrival_date_2016-10-20,0.0
arrival_date_2016-11-04,0.0
arrival_date_2016-07-01,0.0
arrival_date_2016-11-03,0.0
arrival_date_2016-11-01,0.0
arrival_date_2016-10-23,0.0
arrival_date_2016-06-29,0.0
arrival_date_2016-10-31,0.0
arrival_date_2016-10-30,0.0
arrival_date_2016-11-13,0.0
arrival_date_2016-10-29,0.0
arrival_date_2016-10-24,0.0
arrival_date_2016-06-30,0.0
arrival_date_2016-11-12,0.0
arrival_date_2016-08-27,0.0
arrival_date_2016-11-14,0.0
arrival_date_2016-06-19,0.0
arrival_date_2016-06-18,0.0
arrival_date_2016-06-17,0.0
arrival_date_2016-12-08,0.0
arrival_date_2016-06-16,0.0
arrival_date_2016-12-09,0.0
arrival_date_2016-12-10,0.0
arrival_date_2016-12-11,0.0
arrival_date_2016-12-12,0.0
arrival_date_2016-12-13,0.0
arrival_date_2016-06-15,0.0
arrival_date_2016-12-14,0.0
arrival_date_2016-12-15,0.0
arrival_date_2016-06-14,0.0
arrival_date_2016-12-17,0.0
arrival_date_2016-12-18,0.0
arrival_date_2016-06-13,0.0
arrival_date_2016-12-19,0.0
arrival_date_2016-12-20,0.0
arrival_date_2016-12-22,0.0
arrival_date_2016-12-05,0.0
arrival_date_2016-12-04,0.0
arrival_date_2016-11-15,0.0
arrival_date_2016-12-03,0.0
arrival_date_2016-11-16,0.0
arrival_date_2016-06-25,0.0
arrival_date_2016-11-18,0.0
arrival_date_2016-10-15,0.0
arrival_date_2016-11-19,0.0
arrival_date_2016-06-24,0.0
arrival_date_2016-11-21,0.0
arrival_date_2016-11-22,0.0
arrival_date_2016-11-23,0.0
arrival_date_2016-11-24,0.0
arrival_date_2016-11-25,0.0
arrival_date_2016-11-26,0.0
arrival_date_2016-06-23,0.0
arrival_date_2016-11-28,0.0
arrival_date_2016-06-22,0.0
arrival_date_2016-11-30,0.0
arrival_date_2016-12-01,0.0
arrival_date_2016-06-21,0.0
arrival_date_2016-06-20,0.0
arrival_date_2016-10-16,0.0
arrival_date_2016-10-13,0.0
arrival_date_2016-07-04,0.0
arrival_date_2016-08-09,0.0
arrival_date_2016-08-14,0.0
arrival_date_2016-08-13,0.0
arrival_date_2016-09-12,0.0
arrival_date_2016-08-12,0.0
arrival_date_2016-08-11,0.0
arrival_date_2016-12-24,0.0
arrival_date_2016-09-13,0.0
arrival_date_2016-09-14,0.0
arrival_date_2016-08-10,0.0
arrival_date_2016-08-08,0.0
arrival_date_2016-07-05,0.0
arrival_date_2016-08-07,0.0
arrival_date_2016-08-06,0.0
arrival_date_2016-08-04,0.0
arrival_date_2016-09-15,0.0
arrival_date_2016-09-16,0.0
arrival_date_2016-08-03,0.0
arrival_date_2016-08-02,0.0
arrival_date_2016-08-01,0.0
arrival_date_2016-07-31,0.0
arrival_date_2016-08-15,0.0
arrival_date_2016-08-16,0.0
arrival_date_2016-08-18,0.0
arrival_date_2016-08-19,0.0
arrival_date_2016-08-28,0.0
arrival_date_2016-08-29,0.0
arrival_date_2016-08-30,0.0
arrival_date_2016-08-25,0.0
arrival_date_2016-08-31,0.0
arrival_date_2016-09-01,0.0
arrival_date_2016-09-02,0.0
arrival_date_2016-08-24,0.0
arrival_date_2016-09-03,0.0
arrival_date_2016-08-23,0.0
arrival_date_2016-09-05,0.0
arrival_date_2016-09-06,0.0
arrival_date_2016-09-07,0.0
arrival_date_2016-08-22,0.0
arrival_date_2016-09-08,0.0
arrival_date_2016-09-09,0.0
arrival_date_2016-08-20,0.0
arrival_date_2016-09-10,0.0
arrival_date_2016-09-11,0.0
arrival_date_2016-07-30,0.0
arrival_date_2016-07-29,0.0
arrival_date_2016-09-17,0.0
arrival_date_2016-09-27,0.0
arrival_date_2016-09-29,0.0
arrival_date_2016-09-30,0.0
arrival_date_2016-10-01,0.0
arrival_date_2016-10-02,0.0
arrival_date_2016-07-11,0.0
arrival_date_2016-10-03,0.0
arrival_date_2016-10-04,0.0
arrival_date_2016-10-05,0.0
arrival_date_2016-10-06,0.0
arrival_date_2016-10-07,0.0
arrival_date_2016-10-08,0.0
arrival_date_2016-07-10,0.0
arrival_date_2016-07-09,0.0
arrival_date_2016-10-10,0.0
arrival_date_2016-10-12,0.0
arrival_date_2016-07-08,0.0
arrival_date_2016-08-26,0.0
arrival_date_2016-10-14,0.0
arrival_date_2016-07-06,0.0
arrival_date_2016-09-28,0.0
arrival_date_2016-07-12,0.0
arrival_date_2016-07-27,0.0
arrival_date_2016-07-13,0.0
arrival_date_2016-09-18,0.0
arrival_date_2016-09-19,0.0
arrival_date_2016-07-26,0.0
arrival_date_2016-07-25,0.0
arrival_date_2016-09-20,0.0
arrival_date_2016-07-24,0.0
arrival_date_2016-07-23,0.0
arrival_date_2016-07-22,0.0
arrival_date_2016-07-21,0.0
arrival_date_2016-07-20,0.0
arrival_date_2016-07-19,0.0
arrival_date_2016-07-18,0.0
arrival_date_2016-07-17,0.0
arrival_date_2016-09-21,0.0
arrival_date_2016-09-22,0.0
