hotel,is_canceled,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,total_nights,total_guests,is_family,room_changed,previous_cancellation_ratio,has_previous_booking,booked_through_agent,estimated_booking_value,adr_per_guest,lead_time_category,has_weekend_stay,is_long_stay,has_special_requests,booking_was_changed,was_on_waiting_list,parking_required,arrival_month_number,arrival_month_sin,arrival_month_cos,arrival_date,arrival_season,adult_only_booking,long_lead_no_deposit
Resort Hotel,0,342,2015,27,1,0,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,0,Transient,0.0,0,0,0,2.0,0,0,0.0,0,0,0.0,0.0,Very Long,0,0,0,1,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,1
Resort Hotel,0,737,2015,27,1,0,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,4,No Deposit,0,Transient,0.0,0,0,0,2.0,0,0,0.0,0,0,0.0,0.0,Very Long,0,0,0,1,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,1
Resort Hotel,0,7,2015,27,1,0,1,1,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,0,Transient,75.0,0,0,1,1.0,0,1,0.0,0,0,75.0,75.0,Last Minute,0,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,0,13,2015,27,1,0,1,1,0.0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0,Transient,75.0,0,0,1,1.0,0,0,0.0,0,1,75.0,75.0,Short,0,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,0,14,2015,27,1,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,98.0,0,1,2,2.0,0,0,0.0,0,1,196.0,49.0,Short,0,0,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,0,0,2015,27,1,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,0,Transient,107.0,0,0,2,2.0,0,0,0.0,0,0,214.0,53.5,Last Minute,0,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,0,9,2015,27,1,0,2,2,0.0,0,FB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,0,Transient,103.0,0,1,2,2.0,0,0,0.0,0,1,206.0,51.5,Short,0,0,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,1,85,2015,27,1,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,82.0,0,1,3,2.0,0,0,0.0,0,1,246.0,41.0,Medium,0,0,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,1,75,2015,27,1,0,3,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,105.5,0,0,3,2.0,0,0,0.0,0,1,316.5,52.75,Medium,0,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,1,23,2015,27,1,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,123.0,0,0,4,2.0,0,0,0.0,0,1,492.0,61.5,Short,0,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,0,35,2015,27,1,0,4,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,145.0,0,0,4,2.0,0,0,0.0,0,1,580.0,72.5,Medium,0,0,0,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,0,68,2015,27,1,0,4,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,0,Transient,97.0,0,3,4,2.0,0,1,0.0,0,1,388.0,48.5,Medium,0,0,1,0,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,1,0
Resort Hotel,0,18,2015,27,1,0,4,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,0,Transient,154.77,0,1,4,3.0,1,0,0.0,0,1,619.08,51.59,Short,0,0,1,1,0,0,7,-0.4999999999999997,-0.8660254037844388,2015-07-01,Summer,0,0
