Delivery Status,Shipping Mode,delivery_time,profit,inventory_demand,Order Item Quantity
Advance shipping,Standard Class,3,91.25,327.75,1
Late delivery,Standard Class,5,-249.0899963,327.75,1
Shipping on time,Standard Class,4,-247.7799988,327.75,1
Advance shipping,Standard Class,3,22.86000061,327.75,1
Advance shipping,Standard Class,2,134.2100067,327.75,1
Shipping canceled,Standard Class,6,18.57999992,327.75,1
Late delivery,First Class,2,95.18000031,327.75,1
Late delivery,First Class,2,68.43000031,327.75,1
Late delivery,Second Class,3,133.7200012,327.75,1
Late delivery,First Class,2,132.1499939,327.75,1
Shipping canceled,Second Class,6,130.5800018,327.75,1
Late delivery,Second Class,5,45.68999863,327.75,1
Late delivery,Second Class,4,21.76000023,327.75,1
Late delivery,First Class,2,24.57999992,327.75,1
Late delivery,First Class,2,16.38999939,327.75,1
Late delivery,First Class,2,-259.5799866,327.75,1
Late delivery,Second Class,5,-246.3600006,327.75,1
Late delivery,First Class,2,23.84000015,327.75,1
Late delivery,First Class,2,102.2600021,327.75,1
Shipping on time,Same Day,0,87.18000031,327.75,1
Shipping on time,Same Day,0,154.8600006,327.75,1
Late delivery,Standard Class,5,82.30000305,327.75,1
Late delivery,Second Class,4,22.37000084,327.75,1
Shipping canceled,Second Class,3,17.70000076,327.75,1
Shipping canceled,Second Class,2,90.27999878,327.75,1
Late delivery,Second Class,6,131.1699982,327.75,1
Late delivery,Second Class,5,90.54000092,327.75,1
Shipping on time,Standard Class,4,82.58999634,327.75,1
Advance shipping,Standard Class,3,-17.13999939,327.75,1
Advance shipping,Standard Class,2,23.64999962,327.75,1
Late delivery,Standard Class,6,73.41999817,327.75,1
Late delivery,Standard Class,5,113.0699997,327.75,1
Shipping on time,Standard Class,4,24.57999992,327.75,1
Late delivery,First Class,2,-97.33999634,327.75,1
Late delivery,First Class,2,-425.5799866,327.75,1
Late delivery,First Class,2,152.6000061,327.75,1
Late delivery,First Class,2,151.0299988,327.75,1
Late delivery,First Class,2,62.27000046,327.75,1
Late delivery,Same Day,0,35.0,327.75,1
Shipping canceled,Same Day,0,57.29999924,327.75,1
Late delivery,Same Day,0,143.1600037,327.75,1
Late delivery,Same Day,0,135.6900024,327.75,1
Shipping on time,Standard Class,4,132.6699982,327.75,1
Advance shipping,Standard Class,3,119.7600021,327.75,1
Advance shipping,Standard Class,2,31.47999954,327.75,1
Late delivery,Standard Class,6,86.16999817,327.75,1
Late delivery,Second Class,5,130.5800018,327.75,1
Shipping on time,Standard Class,4,0.0,327.75,1
Late delivery,Second Class,5,-30.75,239.9600068,2
Shipping on time,Second Class,2,-122.7300034,159.96000672,2
Late delivery,Second Class,6,33.59999847,200.0,2
Shipping on time,Second Class,2,24.69000053,159.96000672,2
Late delivery,Second Class,3,9.100000381,200.0,2
Late delivery,Second Class,5,-21.75,200.0,2
Late delivery,Second Class,6,6.150000095,200.0,2
Shipping on time,Second Class,2,22.40999985,179.96000672,2
Late delivery,Second Class,5,25.23999977,219.8800048,2
Late delivery,Second Class,6,30.5699997,239.9600068,2
Late delivery,Second Class,4,46.0699997,239.9600068,2
Shipping on time,Second Class,2,-184.7799988,899.9100036,3
Late delivery,Second Class,5,38.75,359.9100036,3
Late delivery,Second Class,5,-3.650000095,197.91000366,3
Late delivery,Second Class,5,38.22999954,287.91000366000003,3
Late delivery,Second Class,3,129.3500061,899.9100036,3
Shipping on time,Second Class,2,132.2899933,899.9100036,3
Late delivery,Second Class,6,76.04000092,899.9100036,3
Late delivery,Second Class,4,81.12999725,539.9100036,3
Shipping on time,Second Class,2,43.52000046,539.9100036,3
Late delivery,Second Class,3,68.77999878,539.9100036,3
Late delivery,Second Class,3,40.49000168,539.9100036,3
Shipping on time,Second Class,2,20.93000031,450.0,3
Late delivery,Second Class,4,12.19999981,359.9100036,3
Late delivery,Second Class,3,12.71000004,450.0,3
Late delivery,Second Class,6,7.760000229,197.91000366,3
Late delivery,Second Class,6,101.3899994,899.9100036,3
Late delivery,Second Class,5,-285.0700073,539.9100036,3
Late delivery,Second Class,4,42.74000168,539.9100036,3
Late delivery,Second Class,5,49.3199997,539.9100036,3
Late delivery,Second Class,5,80.33999634,539.9100036,3
Late delivery,Second Class,5,-26.69000053,539.9100036,3
Late delivery,Second Class,3,-117.3300018,539.9100036,3
Late delivery,Second Class,4,47.88000107,539.9100036,3
Late delivery,Second Class,4,72.0,450.0,3
Late delivery,Second Class,4,29.94000053,359.9100036,3
Late delivery,Second Class,4,23.46999931,450.0,3
Late delivery,Second Class,5,68.40000153,450.0,3
Late delivery,Second Class,6,43.65999985,450.0,3
Shipping on time,Second Class,2,13.19999981,450.0,3
Late delivery,Second Class,4,46.20000076,450.0,3
Late delivery,Second Class,4,10.43999958,450.0,3
Late delivery,Second Class,4,15.56000042,450.0,3
Late delivery,Second Class,4,32.86000061,359.9100036,3
Late delivery,Standard Class,5,9.600000381,1250.0,5
Late delivery,Standard Class,6,55.09000015,999.7499845,5
Shipping on time,Standard Class,4,68.58999634,999.7499845,5
Advance shipping,Standard Class,2,51.97999954,1250.0,5
Late delivery,Standard Class,6,-23.62999916,1250.0,5
Advance shipping,Standard Class,2,66.88999939,750.0,5
Advance shipping,Standard Class,3,11.46000004,999.7499845,5
Late delivery,Standard Class,5,22.5,1250.0,5
Shipping on time,Standard Class,4,67.5,1250.0,5
Advance shipping,Standard Class,3,78.27999878,999.7499845,5
Advance shipping,Standard Class,3,104.4000015,1250.0,5
Advance shipping,Standard Class,3,47.84999847,1250.0,5
Shipping on time,Standard Class,4,44.18999863,999.7499845,5
Advance shipping,Standard Class,2,8.5,1250.0,5
Shipping on time,Standard Class,4,83.98000336,999.7499845,5
Late delivery,Standard Class,5,70.13999939,1250.0,5
Late delivery,Standard Class,6,72.62999725,1250.0,5
Shipping on time,Standard Class,4,-140.0,1250.0,5
Late delivery,Standard Class,5,-32.59999847,1250.0,5
Shipping on time,Standard Class,4,68.98000336,999.7499845,5
Advance shipping,Standard Class,3,-11.81000042,1250.0,5
Late delivery,Standard Class,6,52.5,1250.0,5
Advance shipping,Standard Class,3,91.87999725,1250.0,5
Late delivery,Standard Class,5,29.69000053,1199.7499845,5
Shipping on time,Standard Class,4,73.69999695,799.7499845,5
Late delivery,Standard Class,6,-79.19000244,2249.750061,5
Shipping on time,Standard Class,4,34.84999847,749.7499845,5
Advance shipping,Standard Class,2,74.08999634,1499.750061,5
Late delivery,Standard Class,5,149.9900055,2499.750061,5
Shipping on time,Standard Class,4,-18.80999947,2499.750061,5
Late delivery,Standard Class,5,140.6399994,2499.750061,5
Advance shipping,Standard Class,2,36.0,2499.750061,5
Late delivery,Standard Class,5,179.9799957,2499.750061,5
Shipping on time,Standard Class,4,-783.6699829,2499.750061,5
Late delivery,Standard Class,6,199.4799957,2499.750061,5
Late delivery,Standard Class,6,-269.9700012,2499.750061,5
Advance shipping,Standard Class,2,-22.5,2499.750061,5
Advance shipping,Standard Class,3,59.06000137,2249.750061,5
Advance shipping,Standard Class,2,140.9799957,1499.750061,5
Advance shipping,Standard Class,2,81.66000366,1499.750061,5
Late delivery,Standard Class,6,18.40999985,1499.750061,5
Advance shipping,Standard Class,3,33.22000122,1499.750061,5
Late delivery,Standard Class,5,25.30999947,1499.750061,5
Late delivery,Standard Class,5,-239.8600006,1499.750061,5
Late delivery,Standard Class,5,-155.8999939,1499.750061,5
Late delivery,Second Class,6,40.02000046,99.98999786,1
Late delivery,Second Class,6,44.59000015,129.9900055,1
Late delivery,Second Class,3,57.95999908,129.9900055,1
Late delivery,Second Class,5,30.42000008,129.9900055,1
Late delivery,Second Class,6,24.60000038,59.99000168,1
Late delivery,Second Class,4,48.88000107,129.9900055,1
Late delivery,Second Class,4,0.0,299.980011,1
Late delivery,Second Class,5,95.54000092,299.980011,1
Late delivery,Second Class,3,-50.58000183,252.8800049,1
Late delivery,Second Class,4,120.8300018,452.0400085,1
