Delivery Status,Shipping Mode,delivery_time,profit,inventory_demand,Order Item Quantity,inventory_efficiency
Advance shipping,Standard Class,3,-29.37999916,129.9900055,1,0.007692899128310292
Shipping on time,Standard Class,4,94.01999664,210.8500061,1,0.004742707949108283
Advance shipping,Standard Class,2,32.36000061,239.9600068,2,0.008334722217552463
Late delivery,Standard Class,5,146.1399994,327.75,1,0.0030511060259344014
Advance shipping,Standard Class,3,58.18999863,959.8400268,4,0.004167361110512921
Advance shipping,Standard Class,3,29.10000038,1499.750061,5,0.0033338888458961696
Shipping canceled,Standard Class,4,-65.25,200.0,2,0.01
Shipping on time,Second Class,2,136.5099945,327.75,1,0.0030511060259344014
Advance shipping,Standard Class,2,57.40000153,129.9900055,1,0.007692899128310292
Late delivery,Standard Class,5,11.05000019,129.9900055,1,0.007692899128310292
Late delivery,Second Class,3,1.919999957,19.98999977,1,0.050025013081828565
Late delivery,Standard Class,5,18.21999931,255.83999632,4,0.015634771957223112
Advance shipping,Standard Class,3,64.29000092,210.8500061,1,0.004742707949108283
Shipping canceled,Standard Class,3,-104.6999969,450.0,3,0.006666666666666667
Late delivery,Standard Class,5,-76.23000336,550.0,5,0.00909090909090909
Advance shipping,Standard Class,2,-0.920000017,352.0,4,0.011363636363636364
Shipping on time,Standard Class,4,28.82999992,352.0,4,0.011363636363636364
Shipping on time,Standard Class,4,-3.75,59.99000168,1,0.01666944444066233
Advance shipping,Standard Class,2,63.24000168,399.980011,1,0.002500124937493439
Late delivery,Second Class,5,4.869999886,129.9900055,1,0.007692899128310292
Late delivery,First Class,2,15.25,50.0,1,0.02
Late delivery,First Class,2,-163.5800018,959.8400268,4,0.004167361110512921
Late delivery,First Class,2,27.29999924,1499.750061,5,0.0033338888458961696
Late delivery,Standard Class,5,120.5299988,299.980011,1,0.0033335554481328427
Shipping on time,Standard Class,4,111.9899979,399.980011,1,0.002500124937493439
Shipping on time,Standard Class,4,62.99000168,1499.750061,5,0.0033338888458961696
Late delivery,Standard Class,5,44.59999847,749.7499845,5,0.006668889767746304
Late delivery,Standard Class,5,61.49000168,2499.750061,5,0.0020001999711922397
Advance shipping,Standard Class,2,54.41999817,959.8400268,4,0.004167361110512921
Late delivery,Standard Class,5,22.5,959.8400268,4,0.004167361110512921
Advance shipping,Standard Class,2,10.43999958,639.8400268,4,0.006251562628873033
Shipping on time,Standard Class,4,55.13000107,450.0,3,0.006666666666666667
Advance shipping,Standard Class,3,27.40999985,400.0,4,0.01
Late delivery,First Class,2,34.29999924,400.0,4,0.01
Shipping canceled,Standard Class,3,100.1900024,329.9899902,1,0.003030394950446591
Late delivery,First Class,2,114.8399963,1500.0,1,0.0006666666666666666
Late delivery,First Class,2,-9.020000458,59.99000168,1,0.01666944444066233
Shipping on time,Standard Class,4,-51.02000046,260.6499939,1,0.003836562529840903
Advance shipping,Standard Class,2,19.04000092,260.6499939,1,0.003836562529840903
Late delivery,Standard Class,5,-31.5,50.0,1,0.02
Advance shipping,Standard Class,3,38.24000168,239.9600068,2,0.008334722217552463
Late delivery,Standard Class,5,31.73999977,287.91000366000003,3,0.010419922760109349
Shipping on time,Standard Class,4,70.98000336,800.0,4,0.005
Advance shipping,Standard Class,3,10.19999981,639.8400268,4,0.006251562628873033
Late delivery,Second Class,4,11.44999981,39.75,1,0.025157232704402517
Shipping on time,Second Class,2,15.61999989,59.99000168,1,0.01666944444066233
Late delivery,Second Class,3,-76.0,200.0,2,0.01
Late delivery,Second Class,3,130.9400024,899.9100036,3,0.0033336666866673336
Late delivery,Second Class,3,19.12999916,399.83999632,4,0.0100040016927139
Shipping on time,Second Class,2,28.79999924,450.0,3,0.006666666666666667
Late delivery,Second Class,3,44.8199997,800.0,4,0.005
Advance shipping,Standard Class,2,27.13999939,129.9900055,1,0.007692899128310292
Advance shipping,Standard Class,2,-24.28000069,129.9900055,1,0.007692899128310292
Shipping on time,Standard Class,4,100.8000031,1250.0,5,0.004
Advance shipping,Standard Class,3,20.0,999.7499845,5,0.005001250390116911
Late delivery,First Class,2,2.789999962,99.98999786,1,0.010001000314052811
Late delivery,First Class,2,26.20000076,59.99000168,1,0.01666944444066233
Late delivery,First Class,2,13.30000019,39.99000168,1,0.02500625051236557
Late delivery,First Class,2,124.7900009,399.980011,1,0.002500124937493439
